PLAYER;TEAM;NUMBER;POSITION;WEIGHT;LAST ATTENDED;COUNTRY
"Collin
Gillespie";DEN;21;G;195 lbs;Villanova;USA
"Jacob
Gilyard";BKN;14;G;160 lbs;Richmond;USA
"Rudy
Gobert";MIN;27;C;258 lbs;Cholet;France
"Jordan
Goodwin";MEM;0;G;200 lbs;St. Louis;USA
"Aaron
Gordon";DEN;50;F;235 lbs;Arizona;USA
"Eric
Gordon";PHX;23;G;215 lbs;Indiana;USA
"Devonte'
Graham";SAS;4;G;195 lbs;Kansas;USA
"Jerami
Grant";POR;9;F;210 lbs;Syracuse;USA
"RaiQuan
Gray";SAS;0;F;269 lbs;Florida State;USA
"AJ
Green";MIL;20;G;190 lbs;Northern Iowa;USA
"Danny
Green";;;G;215 lbs;North Carolina;USA
"Draymond
Green";GSW;23;F;230 lbs;Michigan State;USA
"Jalen
Green";HOU;4;G;186 lbs;NBA G League Ignite;USA
"Javonte
Green";;;G;205 lbs;Radford University;USA
"Jeff
Green";HOU;32;F;235 lbs;Georgetown;USA
"Josh
Green";DAL;8;G;200 lbs;Arizona;Australia
"AJ
Griffin";ATL;14;F;220 lbs;Duke;USA
"Quentin
Grimes";DET;24;G;210 lbs;Houston;USA
"Mouhamadou
Gueye";TOR;16;F;210 lbs;Pittsburgh;USA
"Mouhamed
Gueye";ATL;18;F;210 lbs;Washington State;Senegal
"Rui
Hachimura";LAL;28;F;230 lbs;Gonzaga;Japan
"Ashton
Hagans";POR;22;G-F;190 lbs;Kentucky;USA
"Tyrese
Haliburton";IND;0;G;185 lbs;Iowa State;USA
"R.J.
Hampton";;;G;175 lbs;New Zealand Breakers;USA
"Tim
Hardaway Jr.";DAL;10;G-F;205 lbs;Michigan;USA
"James
Harden";LAC;1;G;220 lbs;Arizona State;USA
"Jaden
Hardy";DAL;1;G;198 lbs;NBA G League Ignite;USA
"Ron
Harper Jr.";;;G-F;233 lbs;Rutgers;USA
"Gary
Harris";ORL;14;G;210 lbs;Michigan State;USA
"Joe
Harris";;;G-F;220 lbs;Virginia;USA
"Kevon
Harris";ORL;8;G;216 lbs;Stephen F. Austin;USA
"Tobias
Harris";PHI;12;F;226 lbs;Tennessee;USA
"Shaquille
Harrison";;;G;195 lbs;Tulsa;USA
"Josh
Hart";NYK;3;G;215 lbs;Villanova;USA
"Isaiah
Hartenstein";NYK;55;C-F;250 lbs;Zalgiris;Germany
"Sam
Hauser";BOS;30;F;217 lbs;Virginia;USA
"Jordan
Hawkins";NOP;24;G;190 lbs;Connecticut;USA
"Jaxson
Hayes";LAL;11;C-F;220 lbs;Texas;USA
"Killian
Hayes";;;G;195 lbs;Ratiopharm Ulm;France
"Gordon
Hayward";OKC;33;F;225 lbs;Butler;USA
"Scoot
Henderson";POR;0;G;202 lbs;NBA G League Ignite;USA
"Taylor
Hendricks";UTA;0;F;215 lbs;Central Florida;USA
"Tyler
Herro";MIA;14;G;195 lbs;Kentucky;USA
"Buddy
Hield";PHI;17;G;220 lbs;Oklahoma;Bahamas
"Haywood
Highsmith";MIA;24;F;220 lbs;Wheeling Jesuit;USA
"Malcolm
Hill";NOP;33;F;220 lbs;Illinois;USA
"Nate
Hinton";HOU;14;G-F;210 lbs;Houston;USA
"D'Moi
Hodge";;;G;188 lbs;Missouri;British Virgin Islands
"Aaron
Holiday";HOU;0;G;185 lbs;UCLA;USA
"Jrue
Holiday";BOS;4;G;205 lbs;UCLA;USA
"Justin
Holiday";DEN;9;F-G;180 lbs;Washington;USA
"Richaun
Holmes";WAS;22;F;235 lbs;Bowling Green;USA
"Chet
Holmgren";OKC;7;C-F;208 lbs;Gonzaga;USA
"Jalen
Hood-Schifino";LAL;0;G;215 lbs;Indiana;USA
"Al
Horford";BOS;42;C-F;240 lbs;Florida;Dominican Republic
"Talen
Horton-Tucker";UTA;5;G;234 lbs;Iowa State;USA
"Danuel
House Jr.";;;F-G;220 lbs;Texas A&M;USA
"Caleb
Houstan";ORL;2;G;205 lbs;Michigan;Canada
"Jett
Howard";ORL;13;G;215 lbs;Michigan;USA
"Kevin
Huerter";SAC;9;G-F;198 lbs;Maryland;USA
"Jay
Huff";DEN;30;C;240 lbs;Virginia;USA
"De'Andre
Hunter";ATL;12;F-G;221 lbs;Virginia;USA
"Matt
Hurt";;;F;233 lbs;Duke;USA
"Bones
Hyland";LAC;5;G;169 lbs;Virginia Commonwealth;USA
"Joe
Ingles";ORL;7;F-G;220 lbs;Maccabi Tel Aviv;Australia
"Brandon
Ingram";NOP;14;F;190 lbs;Duke;USA
"Kyrie
Irving";DAL;11;G;195 lbs;Duke;Australia
"Jonathan
Isaac";ORL;1;F;230 lbs;Florida State;USA
"Jaden
Ivey";DET;23;G;195 lbs;Purdue;USA
"GG
Jackson";MEM;45;F;210 lbs;South Carolina;USA
"Isaiah
Jackson";IND;22;F;205 lbs;Kentucky;USA
"Justin
Jackson";;;F;220 lbs;North Carolina;USA
"Quenton
Jackson";IND;29;G;173 lbs;Texas A&M;USA
"Reggie
Jackson";DEN;7;G;208 lbs;Boston College;USA
"Andre
Jackson Jr.";MIL;44;G;209 lbs;Connecticut;USA
"Jaren
Jackson Jr.";MEM;13;F-C;242 lbs;Michigan State;USA
"Trayce
Jackson-Davis";GSW;32;F;245 lbs;Indiana;USA
"LeBron
James";LAL;23;F;250 lbs;St. Vincent-St. Mary HS (OH);USA
"Jaime
Jaquez Jr.";MIA;11;G;225 lbs;UCLA;USA
"DeJon
Jarreau";;;G;185 lbs;Houston;USA
"DaQuan
Jeffries";NYK;8;G-F;222 lbs;Tulsa;USA
"Trey
Jemison";MEM;55;C;260 lbs;Alabama-Birmingham;USA
"Ty
Jerome";CLE;2;G-F;195 lbs;Virginia;USA
"Isaiah
Joe";OKC;11;G;165 lbs;Arkansas;USA
"Cameron
Johnson";BKN;2;F;210 lbs;North Carolina;USA
"Jalen
Johnson";ATL;1;F;219 lbs;Duke;USA
"James
Johnson";IND;16;F;240 lbs;Wake Forest;USA
"Keldon
Johnson";SAS;3;F-G;220 lbs;Kentucky;USA
"Keon
Johnson";BKN;45;G;185 lbs;Tennessee;USA
"Keyontae
Johnson";OKC;18;F;230 lbs;Kansas State;USA
"Nikola
Jokic";DEN;15;C;284 lbs;Mega Basket;Serbia
"Colby
Jones";SAC;20;G;207 lbs;Xavier;USA
"Damian
Jones";CLE;30;C;245 lbs;Vanderbilt;USA
"Herbert
Jones";NOP;5;F;206 lbs;Alabama;USA
"Mason
Jones";SAC;22;G;200 lbs;Arkansas;USA
"Tre
Jones";SAS;33;G;185 lbs;Duke;USA
"Tyus
Jones";WAS;5;G;196 lbs;Duke;USA
"Derrick
Jones Jr.";DAL;55;F;210 lbs;UNLV;USA
"DeAndre
Jordan";DEN;6;C;265 lbs;Texas A&M;USA
"Cory
Joseph";;;G;200 lbs;Texas;Canada
"Nikola
Jovic";MIA;5;F;205 lbs;Mega Basket;Serbia
"Johnny
Juzang";UTA;33;G;209 lbs;UCLA;USA
"Luke
Kennard";MEM;10;G;206 lbs;Duke;USA
"Walker
Kessler";UTA;24;C;245 lbs;Auburn;USA
"Braxton
Key";DEN;11;F;225 lbs;Virginia;USA
"Corey
Kispert";WAS;24;F;224 lbs;Gonzaga;USA
"Maxi
Kleber";DAL;42;F;240 lbs;Bayern Munich;Germany
"Kevin
Knox II";;;F;215 lbs;Kentucky;USA
"John
Konchar";MEM;46;G;210 lbs;Indiana-Purdue Fort Wayne;USA
"Furkan
Korkmaz";;;G-F;202 lbs;Anadolu Efes;Turkey
"Luke
Kornet";BOS;40;C-F;250 lbs;Vanderbilt;USA
"Vit
Krejci";ATL;27;G;195 lbs;Zaragoza;Czech Republic
"Jonathan
Kuminga";GSW;0;F;225 lbs;NBA G League Ignite;DRC
"Kyle
Kuzma";WAS;33;F;221 lbs;Utah;USA
"Jake
LaRavia";MEM;3;F;235 lbs;Wake Forest;USA
"Zach
LaVine";CHI;8;G;200 lbs;UCLA;USA
"Jock
Landale";HOU;2;C;255 lbs;St. Mary's;Australia
"A.J.
Lawson";DAL;9;G;179 lbs;South Carolina;Canada
"Caris
LeVert";CLE;3;G;205 lbs;Michigan;USA
"Damion
Lee";PHX;10;G-F;210 lbs;Drexel;USA
"Saben
Lee";PHX;38;G;183 lbs;Vanderbilt;USA
"Alex
Len";SAC;25;C;250 lbs;Maryland;Ukraine
"Kawhi
Leonard";LAC;2;F;225 lbs;San Diego State;USA
"Maxwell
Lewis";LAL;21;F;195 lbs;Pepperdine;USA
"Kira
Lewis Jr.";UTA;13;G;170 lbs;Alabama;USA
"E.J.
Liddell";NOP;32;F;240 lbs;Ohio State;USA
"Damian
Lillard";MIL;0;G;195 lbs;Weber State;USA
"Nassir
Little";PHX;25;F-G;220 lbs;North Carolina;USA
"Dereck
Lively II";DAL;2;C;230 lbs;Duke;USA
"Isaiah
Livers";WAS;12;F;232 lbs;Michigan;USA
"Chris
Livingston";MIL;7;F;220 lbs;Kentucky;USA
"Kenneth
Lofton Jr.";UTA;35;F;275 lbs;Louisiana Tech;USA
"Kevon
Looney";GSW;5;F;222 lbs;UCLA;USA
"Brook
Lopez";MIL;11;C;282 lbs;Stanford;USA
"Robin
Lopez";;;C;281 lbs;Stanford;USA
"Kevin
Love";MIA;42;F-C;251 lbs;UCLA;USA
"Kyle
Lowry";PHI;7;G;196 lbs;Villanova;USA
"Seth
Lundy";ATL;3;G-F;220 lbs;Penn State;USA
"Trey
Lyles";SAC;41;F;234 lbs;Kentucky;Canada
"Theo
Maledon";;;G;175 lbs;Asvel;France
"Sandro
Mamukelashvili";SAS;54;F-C;240 lbs;Seton Hall;Georgia
"Terance
Mann";LAC;14;G-F;215 lbs;Florida State;USA
"Tre
Mann";CHA;23;G;178 lbs;Florida;USA
"Boban
Marjanovic";HOU;51;C;290 lbs;Crvena zvezda;Serbia
"Lauri
Markkanen";UTA;23;F-C;240 lbs;Arizona;Finland
"Naji
Marshall";NOP;8;F;220 lbs;Xavier;USA
